fell	-
fell	-
fell	-
swung to	+
dropping	-
weak	-
fell	-
jumped	+
increase	+
halved	-
speeded up	+
up	+
closed up	+
growth of	+
abound	+
abounded	+
abounding	+
abounds	+
absorbent	+
absorbents	+
absorption	+
absorptions	+
accelerate	+
accelerated	+
accelerates	+
accelerating	+
acceleration	+
accelerations	+
accession	+
accessions	+
accrue	+
accrued	+
accrues	+
accruing	+
accumulate	+
accumulated	+
accumulates	+
accumulating	+
adjunct	+
adjuncts	+
advancement	+
advancements	+
amplified	+
amplifies	+
amplify	+
amplifying	+
amply	+
append	+
appended	+
appending	+
appends	+
arise	+
arisen	+
arises	+
arising	+
arose	+
augment	+
augmentation	+
augmentations	+
augmented	+
augmenting	+
augments	+
become	+
becomes	+
becoming	+
bloom	+
bloomed	+
blooming	+
blooms	+
blossom	+
blossomed	+
blossoming	+
blossoms	+
bolster	+
bolstered	+
bolstering	+
bolsters	+
boom	+
boomed	+
booming	+
booms	+
boost	+
boosted	+
boosting	+
boosts	+
boundless	+
bountiful	+
branch	+
branched	+
branching	+
broaden	+
broadened	+
broadening	+
broadens	+
build	+
builds	+
built	+
capitalize	+
capitalized	+
capitalizes	+
capitalizing	+
collect	+
collected	+
collecting	+
collects	+
comeback	+
comebacks	+
cultivation	+
cultivations	+
decorate	+
decorated	+
decorates	+
decorating	+
deepen	+
deepened	+
deepening	+
deepens	+
develop	+
developed	+
developing	+
development	+
developments	+
double	+
doubled	+
doubles	+
doubling	+
elaborate	+
elaborated	+
elaborates	+
elaborating	+
elaboration	+
elaborations	+
embellish	+
embellished	+
embellishes	+
embellishing	+
empower	+
empowered	+
empowering	+
empowerment	+
empowers	+
enhancement	+
enhancements	+
enrich	+
enriched	+
enriches	+
enriching	+
enrichment	+
enrichments	+
exceed	+
exceeded	+
exceeding	+
exceeds	+
excel	+
excelled	+
excelling	+
excels	+
expand	+
expanded	+
expanding	+
expands	+
expansion	+
expansions	+
extend	+
extended	+
extending	+
extends	+
flourish	+
flourished	+
flourishes	+
flourishing	+
fortified	+
fortifies	+
fortify	+
fortifying	+
furthered	+
furthering	+
furthers	+
garnish	+
garnished	+
garnishes	+
garnishing	+
generate	+
generating	+
grew	+
grow	+
growing	+
grown	+
grows	+
growth	+
growths	+
heap	+
heaped	+
heaping	+
heaps	+
heighten	+
heightened	+
heightening	+
heightens	+
hoard	+
hoarded	+
hoarding	+
hoards	+
improve	+
improved	+
improves	+
improving	+
increased	+
increases	+
increasing	+
inflation	+
inflations	+
intensified	+
intensifies	+
intensify	+
intensifying	+
inundate	+
inundated	+
inundates	+
inundating	+
lucrative	+
magnified	+
magnifies	+
magnify	+
magnifying	+
mature	+
matured	+
matures	+
maturing	+
maximize	+
maximized	+
maximizes	+
maximizing	+
momentum	+
momentums	+
nourish	+
nourished	+
nourishes	+
nourishing	+
overflow	+
overflowed	+
overflowing	+
overflows	+
overwhelm	+
overwhelmed	+
overwhelming	+
overwhelms	+
peopled	+
peoples	+
peopling	+
piece	+
pieced	+
pieces	+
piecing	+
pile	+
piled	+
piling	+
prolific	+
promotion	+
promotions	+
prosper	+
prospered	+
prospering	+
prosperous	+
prospers	+
quicken	+
quickened	+
quickening	+
quickens	+
radiate	+
radiated	+
radiates	+
radiating	+
raise	+
raised	+
raises	+
raising	+
renaissance	+
rise	+
risen	+
rises	+
rising	+
rose	+
abate	-
abated	-
abates	-
abating	-
alleviate	-
alleviated	-
alleviates	-
alleviating	-
amputate	-
amputated	-
amputates	-
amputating	-
atrophied	-
atrophies	-
atrophy	-
atrophying	-
cheapen	-
cheapened	-
cheapening	-
cheapens	-
collapse	-
collapsed	-
collapses	-
collapsing	-
contract	-
contracted	-
contracting	-
contracts	-
corrode	-
corroded	-
corrodes	-
corroding	-
corrosion	-
corrosive	-
corrosives	-
counteract	-
counteracted	-
counteracting	-
counteraction	-
counteractions	-
counteracts	-
cut	-
cuts	-
cutting	-
decay	-
decayed	-
decaying	-
decays	-
decline	-
declined	-
declines	-
declining	-
decompose	-
decomposed	-
decomposes	-
decomposing	-
decrease	-
decreased	-
decreases	-
decreasing	-
deplete	-
depleted	-
depletes	-
depleting	-
depreciate	-
depreciated	-
depreciates	-
depreciating	-
depreciation	-
depreciations	-
detract	-
detracted	-
detracting	-
detracts	-
dim	-
diminish	-
diminished	-
diminishes	-
diminishing	-
dimmed	-
dimming	-
dims	-
discount	-
discounted	-
discounting	-
discounts	-
discouragement	-
discouragements	-
dispel	-
dispelled	-
dispelling	-
dispels	-
dispense	-
dispensed	-
dispenses	-
dispensing	-
drain	-
drained	-
draining	-
drains	-
dwindle	-
dwindled	-
dwindles	-
dwindling	-
ease	-
eased	-
eases	-
easing	-
emptied	-
empties	-
empty	-
emptying	-
engulf	-
engulfed	-
engulfing	-
engulfs	-
eradicate	-
eradicated	-
eradicates	-
eradicating	-
erase	-
erased	-
erases	-
erasing	-
erode	-
eroded	-
erodes	-
eroding	-
erosion	-
erosions	-
exasperate	-
exasperated	-
exasperates	-
exasperating	-
exhaust	-
exhausted	-
exhausting	-
exhausts	-
exterminate	-
exterminated	-
exterminates	-
exterminating	-
extermination	-
exterminations	-
fade	-
faded	-
fades	-
fading	-
fall	-
fallen	-
falling	-
falls	-
falter	-
faltered	-
faltering	-
falters	-
insufficiencies	-
insufficiency	-
languish	-
languished	-
languishes	-
languishing	-
leakage	-
leakages	-
lighten	-
lightened	-
lightening	-
lightens	-
lowed	-
lower	-
lowing	-
lows	-
melt	-
melted	-
melting	-
melts	-
minimize	-
minimized	-
minimizes	-
minimizing	-
molten	-
pass	-
passed	-
passes	-
passing	-
purified	-
purifies	-
purify	-
purifying	-
ration	-
rationed	-
rationing	-
rations	-
recede	-
receded	-
recedes	-
receding	-
recession	-
recessions	-
reduce	-
reduced	-
reduces	-
reducing	-
reduction	-
reductions	-
refine	-
refined	-
refines	-
refining	-
retardation	-
reverse	-
reversed	-
reverses	-
reversing	-
rid	-
ridded	-
ridding	-
rids	-
rot	-
rots	-
rotted	-
rotting	-
scarcities	-
scarcity	-
shrank	-
shred	-
shredded	-
shredding	-
shreds	-
shrink	-
shrinking	-
shrinks	-
shrivel	-
shrivelled	-
shrivelling	-
shrivels	-
shrunk	-
shrunken	-
slow	-
slowed	-
slowing	-
slows	-
subside	-
subsided	-
subsides	-
subsiding	-
subtract	-
subtracted	-
subtracting	-
subtracts	-
sunder	-
sundered	-
sundering	-
sunders	-
tatter	-
tattered	-
tattering	-
tatters	-
vanish	-
vanished	-
vanishes	-
vanishing	-
wane	-
waned	-
wanes	-
waning	-
weaken	-
weakened	-
weakening	-
weakens	-
wilt	-
wilted	-
wilting	-
wilts	-
wither	-
withered	-
withering	-
withers	-
worsen	-
worsened	-
worsening	-
worsens	-
was a negative	-
at loss	-
picked up	+
faster	+
remain favourable	+
strengthen	+
balanced by	+
developed highly favourably	+
lift	+
lifted	+
lifting	+
lifts	+
down	-
surged	+
went up	+
favourable development	+
widened	+
beat analysts ' expectations	+
soared	+
jump	+
expected to expand	+
a fall in	-
larger	+
slowed down	-
narrowed	-
narrows	-
smaller	-
larger-than-expected	+
slipped	-
closed higher	+
closed lower	-
closed down	-
added	+
gained	+
adding	+
soar	+
Decline	-
Falls	-
sliding	-
Fell	-
Jumped	+
Increase	+
Halved	-
Speeded up	+
Speeded Up	+
Up	+
Closed up	+
Closed Up	+
Growth of	+
Growth Of	+
Abound	+
Abounded	+
Abounding	+
Abounds	+
Absorbent	+
Absorbents	+
Absorption	+
Absorptions	+
Accelerate	+
Accelerated	+
Accelerates	+
Accelerating	+
Acceleration	+
Accelerations	+
Accession	+
Accessions	+
Accrue	+
Accrued	+
Accrues	+
Accruing	+
Accumulate	+
Accumulated	+
Accumulates	+
Accumulating	+
Adjunct	+
Adjuncts	+
Advancement	+
Advancements	+
Amplified	+
Amplifies	+
Amplify	+
Amplifying	+
Amply	+
Append	+
Appended	+
Appending	+
Appends	+
Arise	+
Arisen	+
Arises	+
Arising	+
Arose	+
Augment	+
Augmentation	+
Augmentations	+
Augmented	+
Augmenting	+
Augments	+
Become	+
Becomes	+
Becoming	+
Bloom	+
Bloomed	+
Blooming	+
Blooms	+
Blossom	+
Blossomed	+
Blossoming	+
Blossoms	+
Bolster	+
Bolstered	+
Bolstering	+
Bolsters	+
Boom	+
Boomed	+
Booming	+
Booms	+
Boost	+
Boosted	+
Boosting	+
Boosts	+
Boundless	+
Bountiful	+
Branch	+
Branched	+
Branching	+
Broaden	+
Broadened	+
Broadening	+
Broadens	+
Build	+
Builds	+
Built	+
Capitalize	+
Capitalized	+
Capitalizes	+
Capitalizing	+
Collect	+
Collected	+
Collecting	+
Collects	+
Comeback	+
Comebacks	+
Cultivation	+
Cultivations	+
Decorate	+
Decorated	+
Decorates	+
Decorating	+
Deepen	+
Deepened	+
Deepening	+
Deepens	+
Develop	+
Developed	+
Developing	+
Development	+
Developments	+
Double	+
Doubled	+
Doubles	+
Doubling	+
Elaborate	+
Elaborated	+
Elaborates	+
Elaborating	+
Elaboration	+
Elaborations	+
Embellish	+
Embellished	+
Embellishes	+
Embellishing	+
Empower	+
Empowered	+
Empowering	+
Empowerment	+
Empowers	+
Enhancement	+
Enhancements	+
Enrich	+
Enriched	+
Enriches	+
Enriching	+
Enrichment	+
Enrichments	+
Exceed	+
Exceeded	+
Exceeding	+
Exceeds	+
Excel	+
Excelled	+
Excelling	+
Excels	+
Expand	+
Expanded	+
Expanding	+
Expands	+
Expansion	+
Expansions	+
Extend	+
Extended	+
Extending	+
Extends	+
Flourish	+
Flourished	+
Flourishes	+
Flourishing	+
Fortified	+
Fortifies	+
Fortify	+
Fortifying	+
Furthered	+
Furthering	+
Furthers	+
Garnish	+
Garnished	+
Garnishes	+
Garnishing	+
Generate	+
Generating	+
Grew	+
Grow	+
Growing	+
Grown	+
Grows	+
Growth	+
Growths	+
Heap	+
Heaped	+
Heaping	+
Heaps	+
Heighten	+
Heightened	+
Heightening	+
Heightens	+
Hoard	+
Hoarded	+
Hoarding	+
Hoards	+
Improve	+
Improved	+
Improves	+
Improving	+
Increased	+
Increases	+
Increasing	+
Inflation	+
Inflations	+
Intensified	+
Intensifies	+
Intensify	+
Intensifying	+
Inundate	+
Inundated	+
Inundates	+
Inundating	+
Lucrative	+
Magnified	+
Magnifies	+
Magnify	+
Magnifying	+
Mature	+
Matured	+
Matures	+
Maturing	+
Maximize	+
Maximized	+
Maximizes	+
Maximizing	+
Momentum	+
Momentums	+
Nourish	+
Nourished	+
Nourishes	+
Nourishing	+
Overflow	+
Overflowed	+
Overflowing	+
Overflows	+
Overwhelm	+
Overwhelmed	+
Overwhelming	+
Overwhelms	+
Peopled	+
Peoples	+
Peopling	+
Piece	+
Pieced	+
Pieces	+
Piecing	+
Pile	+
Piled	+
Piling	+
Prolific	+
Promotion	+
Promotions	+
Prosper	+
Prospered	+
Prospering	+
Prosperous	+
Prospers	+
Quicken	+
Quickened	+
Quickening	+
Quickens	+
Radiate	+
Radiated	+
Radiates	+
Radiating	+
Raise	+
Raised	+
Raises	+
Raising	+
Renaissance	+
Rise	+
Risen	+
Rises	+
Rising	+
Rose	+
Abate	-
Abated	-
Abates	-
Abating	-
Alleviate	-
Alleviated	-
Alleviates	-
Alleviating	-
Amputate	-
Amputated	-
Amputates	-
Amputating	-
Atrophied	-
Atrophies	-
Atrophy	-
Atrophying	-
Cheapen	-
Cheapened	-
Cheapening	-
Cheapens	-
Collapse	-
Collapsed	-
Collapses	-
Collapsing	-
Contract	-
Contracted	-
Contracting	-
Contracts	-
Corrode	-
Corroded	-
Corrodes	-
Corroding	-
Corrosion	-
Corrosive	-
Corrosives	-
Counteract	-
Counteracted	-
Counteracting	-
Counteraction	-
Counteractions	-
Counteracts	-
Cut	-
Cuts	-
Cutting	-
Decay	-
Decayed	-
Decaying	-
Decays	-
Declined	-
Declines	-
Declining	-
Decompose	-
Decomposed	-
Decomposes	-
Decomposing	-
Decrease	-
Decreased	-
Decreases	-
Decreasing	-
Deplete	-
Depleted	-
Depletes	-
Depleting	-
Depreciate	-
Depreciated	-
Depreciates	-
Depreciating	-
Depreciation	-
Depreciations	-
Detract	-
Detracted	-
Detracting	-
Detracts	-
Dim	-
Diminish	-
Diminished	-
Diminishes	-
Diminishing	-
Dimmed	-
Dimming	-
Dims	-
Discount	-
Discounted	-
Discounting	-
Discounts	-
Discouragement	-
Discouragements	-
Dispel	-
Dispelled	-
Dispelling	-
Dispels	-
Dispense	-
Dispensed	-
Dispenses	-
Dispensing	-
Drain	-
Drained	-
Draining	-
Drains	-
Dwindle	-
Dwindled	-
Dwindles	-
Dwindling	-
Ease	-
Eased	-
Eases	-
Easing	-
Emptied	-
Empties	-
Empty	-
Emptying	-
Engulf	-
Engulfed	-
Engulfing	-
Engulfs	-
Eradicate	-
Eradicated	-
Eradicates	-
Eradicating	-
Erase	-
Erased	-
Erases	-
Erasing	-
Erode	-
Eroded	-
Erodes	-
Eroding	-
Erosion	-
Erosions	-
Exasperate	-
Exasperated	-
Exasperates	-
Exasperating	-
Exhaust	-
Exhausted	-
Exhausting	-
Exhausts	-
Exterminate	-
Exterminated	-
Exterminates	-
Exterminating	-
Extermination	-
Exterminations	-
Fade	-
Faded	-
Fades	-
Fading	-
Fall	-
Fallen	-
Falling	-
Falter	-
Faltered	-
Faltering	-
Falters	-
Insufficiencies	-
Insufficiency	-
Languish	-
Languished	-
Languishes	-
Languishing	-
Leakage	-
Leakages	-
Lighten	-
Lightened	-
Lightening	-
Lightens	-
Lowed	-
Lower	-
Lowing	-
Lows	-
Melt	-
Melted	-
Melting	-
Melts	-
Minimize	-
Minimized	-
Minimizes	-
Minimizing	-
Molten	-
Pass	-
Passed	-
Passes	-
Passing	-
Purified	-
Purifies	-
Purify	-
Purifying	-
Ration	-
Rationed	-
Rationing	-
Rations	-
Recede	-
Receded	-
Recedes	-
Receding	-
Recession	-
Recessions	-
Reduce	-
Reduced	-
Reduces	-
Reducing	-
Reduction	-
Reductions	-
Refine	-
Refined	-
Refines	-
Refining	-
Retardation	-
Reverse	-
Reversed	-
Reverses	-
Reversing	-
Rid	-
Ridded	-
Ridding	-
Rids	-
Rot	-
Rots	-
Rotted	-
Rotting	-
Scarcities	-
Scarcity	-
Shrank	-
Shred	-
Shredded	-
Shredding	-
Shreds	-
Shrink	-
Shrinking	-
Shrinks	-
Shrivel	-
Shrivelled	-
Shrivelling	-
Shrivels	-
Shrunk	-
Shrunken	-
Slow	-
Slowed	-
Slowing	-
Slows	-
Subside	-
Subsided	-
Subsides	-
Subsiding	-
Subtract	-
Subtracted	-
Subtracting	-
Subtracts	-
Sunder	-
Sundered	-
Sundering	-
Sunders	-
Tatter	-
Tattered	-
Tattering	-
Tatters	-
Vanish	-
Vanished	-
Vanishes	-
Vanishing	-
Wane	-
Waned	-
Wanes	-
Waning	-
Weaken	-
Weakened	-
Weakening	-
Weakens	-
Wilt	-
Wilted	-
Wilting	-
Wilts	-
Wither	-
Withered	-
Withering	-
Withers	-
Worsen	-
Worsened	-
Worsening	-
Worsens	-
Was a negative	-
Was A Negative	-
At loss	-
At Loss	-
Picked up	+
Picked Up	+
Faster	+
Remain favourable	+
Remain Favourable	+
Strengthen	+
Balanced by	+
Balanced By	+
Developed highly favourably	+
Developed Highly Favourably	+
Lift	+
Lifted	+
Lifting	+
Lifts	+
Down	-
Surged	+
Went up	+
Went Up	+
Favourable development	+
Favourable Development	+
Widened	+
Beat analysts ' expectations	+
Beat Analysts ' Expectations	+
Soared	+
Jump	+
Expected to expand	+
Expected To Expand	+
A fall in	-
A Fall In	-
Larger	+
Slowed down	-
Slowed Down	-
Narrowed	-
Narrows	-
Smaller	-
Larger-than-expected	+
Larger-Than-Expected	+
Slipped	-
Closed higher	+
Closed Higher	+
Closed lower	-
Closed Lower	-
Closed down	-
Closed Down	-
Added	+
Gained	+
Adding	+
Soar	+
Sliding	-
slump	-
slumped	-
slumps	-
Slump	-
Slumped	-
Slumps	-
surpassed	+
underweight	-
open up	?
buying up	?
come down to	?
catapulted	+
Spurs	+
Surge	+
rally	+
climbed	+
gain	+
beat estimates	+
biggest intraday advance	+
beat	+
slid	-
Sags	-
Surpassed	+
Underweight	-
Open up	?
Open Up	?
Buying up	?
Buying Up	?
Come down to	?
Come Down To	?
Catapulted	+
spurs	+
surge	+
Rally	+
Climbed	+
Gain	+
Beat estimates	+
Beat Estimates	+
Biggest intraday advance	+
Biggest Intraday Advance	+
Beat	+
Slid	-
sags	-
edged	+
reached	+
dropped	-
higher	+
Narrower	-
most ever	+
scaled back	-
